name,brandName,regularPrice,finalPrice
"Grumbacher Golden Edge Acrylic Brush, Flat, 10",Grumbacher,34.85,24.89
Amsterdam AAC STD 250ML CARMINE,Amsterdam,36.27,24.18
"hxsykjdm diamond painting kits, 5d diamond art kits diamond art kits for adults diamond painting with diamond painting access",hxsykjdm,29.25,23.36
"hlison paint by number for adults, acrylic easy paint by numbers for adults beginner, diy painting by numbers for gift home w",hlison,28.65,22.88
"bluedp colored cats diamond painting kits,diamond art painting kits for adults,full round drill diamond art paint by numbers ",BLUEDP,28.65,22.88
"Melissa & Doug Finger Paint Paper Pad (12""x18"")",Melissa & Doug,36.65,21.99
"Grumbacher Golden Edge Acrylic Brush, Flat, 6",Grumbacher,30.70,21.93
"Grumbacher Golden Edge Acrylic Brush, Flat, 4",Grumbacher,29.46,21.04
"Grumbacher Golden Edge Acrylic Brush, Bright, 4",Grumbacher,29.46,21.04
"Grumbacher Golden Edge Acrylic Brush, Filbert, 2",Grumbacher,28.31,20.22
"Grumbacher Golden Edge Acrylic Brush, Flat, 2",Grumbacher,28.31,20.22
"Melissa & Doug Spill Proof Paint Cups, Set of 4",Melissa & Doug,20.32,19.32
"Royal Brush Soft-Grip Natural Hair Brush, White Blend Mop, 1""",Royal Brush,25.91,18.51
"DANIEL SMITH Extra Fine Watercolor 15ml Paint Tube, Lemon Yellow",DANIEL SMITH,19.39,18.43
Deco Art AMERICANA 2OZ LAVENDER,Deco Art,26.49,17.66
name,brandName,regularPrice,finalPrice
Golden Open Acrylic Thinner 4oz,Golden,28.45,17.07
Robert Simmons Signet Brushes 4 egbert 43,Robert Simmons,16.11,15.31
Dixon Ticonderoga DIX94005 Multipurpose Brush- Wood Handles- Pointed and Chisel- 5-ST,Dixon Ticonderoga,25.26,14.38
Golden Fluid Acrylics - Phthalo Blue (Red Shade) - 1 oz Bottle,Golden,14.99,14.25
Robert Simmons Signet Brushes 2 round 40R,Robert Simmons,14.66,13.94
Holbein Duo Aqua Artist Oil Color,Holbein,13.76,13.76
Robert Simmons Signet Brushes 0 round 40R,Robert Simmons,11.88,11.29
"Crayola 1121-7 Camel Hair Round Brushes, Size 7",Crayola,19.30,10.78
Holbein Duo Aqua Artist Oil Color,Holbein,10.34,10.34
Silver Brush Ruby Satin Series Synthetic Brushes Long Handle,Silver Brush,9.47,9.47
Silver Brush Bristlon Series Brushes,Silver Brush,9.34,9.34
Silver Brush Bristlon Series Brushes,Silver Brush,9.24,9.24
WINSOR & NEWTON University Series Long Handled Brushes,WINSOR & NEWTON,8.81,8.81
Liquitex Free-Style Detail Brushes,Liquitex,8.65,8.65
Holbein Artist Oil Colors,Holbein,8.19,8.19
Liquitex Professional Spray Paint,Liquitex,8.03,8.03
Holbein Duo Aqua Artist Oil Color,Holbein,7.69,7.69
Holbein Duo Aqua Artist Oil Color,Holbein,7.69,7.69
Holbein Duo Aqua Artist Oil Color,Holbein,7.69,7.69
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Escoda Series 1212 Tajmyr Kolinsky Sable Brushes,Escoda,7.19,7.19
"Tamiya America, Inc Craft Cotton Swab, Round XSmall 50 pc, TAM87103",TAMIYA,7.51,7.14
Silver Brush Grand Prix Series 1003 Filbert Hog Bristle Brush,Silver Brush,7.04,7.04
"Deco Art DecoArt DA03-9 Americana Acrylics, 8-Ounce, Buttermilk",Deco Art,7.15,6.80
Liquitex Painting Knives,Liquitex,6.59,6.59
WINSOR & NEWTON Series 995 Aquarelle Golden Nylon Brushes,WINSOR & NEWTON,6.59,6.59
Silver Brush Ruby Satin Series Synthetic Brushes Long Handle,Silver Brush,6.53,6.53
WINSOR & NEWTON Artists' Acrylic Colours,WINSOR & NEWTON,6.49,6.49
WINSOR & NEWTON University Series Long Handled Brushes,WINSOR & NEWTON,6.43,6.43
PRINCETON Snap! Brush Sets,PRINCETON,5.93,5.93
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,5.93,5.93
Silver Brush Renaissance Series Brushes Long Handle,Silver Brush,5.88,5.88
WINSOR & NEWTON University Series Short Handled Brushes,WINSOR & NEWTON,5.47,5.47
Amsterdam Standard Series Acrylic Paint,Amsterdam,5.46,5.46
Amsterdam Standard Series Acrylic Paint,Amsterdam,5.46,5.46
Amsterdam Standard Series Acrylic Paint,Amsterdam,5.46,5.46
WINSOR & NEWTON Sceptre Gold II Short Handled Brushes,WINSOR & NEWTON,5.37,5.37
Grumbacher Stand Oil,Grumbacher,5.35,5.35
Silver Brush Renaissance Series Brushes Short Handle,Silver Brush,5.19,5.19
Silver Brush Ruby Satin Series Synthetic Brushes Long Handle,Silver Brush,5.13,5.13
Crayola Artista II Liquid Tempera Paint,Crayola,5.04,5.04
Crayola Artista II Liquid Tempera Paint,Crayola,5.04,5.04
Crayola Artista II Liquid Tempera Paint,Crayola,5.04,5.04
Holbein Acryla Gouache,Holbein,4.94,4.94
Silver Brush Renaissance Series Brushes Long Handle,Silver Brush,4.91,4.91
WINSOR & NEWTON Artists' Oil Brushes,WINSOR & NEWTON,4.68,4.68
SNAZAROO Face Paint,SNAZAROO,4.63,4.63
WINSOR & NEWTON Griffin Alkyd Oil Colours,WINSOR & NEWTON,4.63,4.63
Silver Brush Ruby Satin Series Synthetic Brushes Short Handle,Silver Brush,4.53,4.53
Liquitex Free-Style Detail Brushes,Liquitex,4.51,4.51
Pebeo Fantasy Moon Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Moon Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Prisme Effect Paint,Pebeo,4.47,4.47
Pebeo Porcelaine 150 China Paint Outliners,Pebeo,4.47,4.47
Pebeo Fantasy Moon Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Prisme Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Moon Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Prisme Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Prisme Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Moon Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Moon Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Moon Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Moon Effect Paint,Pebeo,4.47,4.47
Pebeo Fantasy Moon Effect Paint,Pebeo,4.47,4.47
Silver Brush Grand Prix Series 1003 Filbert Hog Bristle Brush,Silver Brush,4.13,4.13
Silver Brush Bristlon Series Brushes,Silver Brush,4.12,4.12
Yasutomo Economy Hake Brushes,Yasutomo,3.90,3.90
Shiva Artist&#39;s Paintstik Oil Colors,Shiva,3.79,3.79
WINSOR & NEWTON Oil & Alkyd Solvents,WINSOR & NEWTON,3.75,3.75
PRINCETON Snap Brushes,PRINCETON,3.71,3.71
WINSOR & NEWTON Sceptre Gold II Short Handled Brushes,WINSOR & NEWTON,3.69,3.69
Grumbacher Academy Oil Colors,Grumbacher,3.59,3.59
Pebeo Studio Acrylic Paint,Pebeo,3.53,3.53
Pebeo Studio Acrylic Paint,Pebeo,3.53,3.53
Pebeo Studio Acrylic Paint,Pebeo,3.53,3.53
Yasutomo Niji Pearlescent Watercolor Sets,Yasutomo,3.44,3.44
WINSOR & NEWTON Sceptre Gold II Short Handled Brushes,WINSOR & NEWTON,3.38,3.38
WINSOR & NEWTON Sceptre Gold II Short Handled Brushes,WINSOR & NEWTON,3.31,3.31
WINSOR & NEWTON University Series Short Handled Brushes,WINSOR & NEWTON,3.07,3.07
Amsterdam Standard Series Acrylic Paint,Amsterdam,3.06,3.06
WINSOR & NEWTON Sceptre Gold II Short Handled Brushes,WINSOR & NEWTON,3.00,3.00
WINSOR & NEWTON University Series Long Handled Brushes,WINSOR & NEWTON,2.76,2.76
WINSOR & NEWTON University Series Long Handled Brushes,WINSOR & NEWTON,2.76,2.76
WINSOR & NEWTON University Series Short Handled Brushes,WINSOR & NEWTON,2.49,2.49
Jack Richeson Powder Tempera Paint,Jack Richeson,2.35,2.35
Liquitex Painting Knives,Liquitex,2.31,2.31
Liquitex Painting Knives,Liquitex,2.31,2.31
Liquitex Painting Knives,Liquitex,2.31,2.31
Liquitex Painting Knives,Liquitex,2.31,2.31
Liquitex Painting Knives,Liquitex,2.31,2.31
Van Gogh Watercolors,Van Gogh,2.18,2.18
Robert Simmons Simply Simmons Short Handle Brushes,Robert Simmons,1.94,1.94
Royal & Langnickel Series 4200 Mini-Majestic Brushes,Royal & Langnickel,1.75,1.75
PRINCETON Snap Brushes,PRINCETON,1.49,1.49
RANGER Liquid Pearls Pearlescent Paint,RANGER,1.28,1.28
Crayola Series 1121 Short Handled Round Camel Hair Brushes,Crayola,1.22,1.22
Grumbacher Artists' Tools,Grumbacher,1.19,1.19
Grumbacher Artists' Tools,Grumbacher,1.19,1.19
Grumbacher Artists' Tools,Grumbacher,1.19,1.19
Deco Art Americana Acrylic Paints,Deco Art,1.18,1.18
Crayola Series 1121 Short Handled Round Camel Hair Brushes,Crayola,.87,.87
Crayola Arts And Crafts Brush Set of 8 Brushes,Crayola,4.29,4.29
Lauer Custom Weaponry HVLPC HVLP Converter,Lauer Custom Weaponry,3118.64,1263.17
Vertex HVLP Converter,Vertex,3117.77,1262.82
Gordon Brush Mfg. Co. Gordon Brush Mhp47 6 In. X 9 In. General Purpose Hand Pads   Case of 20,Gordon Brush Mfg. Co.,1467.60,590.10
Kalalou Inc Oil Painting - Set Of Two Framed Abstract Landscapes,Kalalou,787.20,577.95
"Binks 59-10006 Binks Air Brush Kit: Gen Purpose, 0.052 in Nozzle Size  59-10006",Binks,600.99,574.37
Paasche TG-6P 0.38 mm Double Action Gravity Feed Airbrush with Medium Head for Talon - Pack of 6,Paasche,1042.07,423.92
New Color 0.38 mm Double Action Gravity Feed Airbrush with Medium Head for Talon - Pack of 6,New Color,1041.20,423.57
Harder und Steenbeck Harder & Steenbeck Infinity CR Plus 2in1 Airbrush 0.2 and 0.4mm nozzle sets 126594. by SprayGunner,Harder und Steenbeck,440.48,376.09
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451330 3 In. Badger Premium Quality Natural China Bristle Paint Brush- Case Of 12,Gordon Brush Mfg. Co.,853.00,344.26
Ddi 2370092 Paint Brush Sets with Flat & Angled&#44; Assorted Color - 5 per Pack - Case of 144,Ddi,746.59,309.62
OfficeSpace Paint Brush Sets with Flat & Angled&#44; Assorted Color - 5 per Pack - Case of 144,OfficeSpace,745.71,309.27
Ddi 2363672 Paint Brush Sets&#44; Assorted Tips - 7 per Pack - Case of 144,Ddi,749.25,304.66
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451325 2.50 In. Badger Premium Quality Natural China Bristle Paint Brush- Case Of 12,Gordon Brush Mfg. Co.,753.83,304.59
New Color 0.74 mm Double Action Airbrush with Medium Head for VL - Pack of 6,New Color,743.65,304.37
OfficeSpace Paint Brush Sets&#44; Assorted Tips - 7 per Pack - Case of 144,OfficeSpace,748.37,304.31
Family Maid DDI 2322819 6 Piece Artist Brushes and Paint Tray Palette Case of 12,Family Maid,739.22,299.72
Teacher&'s Aid DDI  6 Piece Artist Brushes and Paint Tray Palette Case of 12,Teacher&'s Aid,738.35,299.37
Gordon Brush Mfg. Co. Gordon Brush 499Nad Applicator Brush Nylon Handle .5 X 4.5 Autoclavable   Case of 25,Gordon Brush Mfg. Co.,729.90,295.83
Dynasty B-800 Cylinder White Taklon Short Wood Handle Paint Brush- Set - 120,Dynasty,726.65,290.66
MJM International Corp. Shower chair 18Inch internal width 3Inch twin casters BLACK deluxe elongated open front soft seat BLACK cushion padded back true,MJM International Corp.,365.25,280.96
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451740 4 In. Matey Synthetic Paint Brush- Case Of 12,Gordon Brush Mfg. Co.,687.83,278.19
"texture of dreams personalized paint by numbers kit for adults, acrylic painting oil painting on framed & stretched canvas, c",Texture of Dreams,325.50,277.99
Testor's testors all new ac200 airbrush compressor,Testor's,324.03,276.73
iwata - hp-c plus paint brush (4004),Iwata,323.29,276.10
harder & steenbeck evolution crplus 0.2 (v2.0) [126214],Harder & Steenbeck,313.61,267.84
Harder und Steenbeck harder & steenbeck evolution cr plus 0.15mm airbrush 126204 by spraygunner,Harder und Steenbeck,313.61,267.84
master airbrush cool runner ii dual fan air compressor system kit with master ab pro plus elite level performance airbrush se,Master Airbrush,310.62,265.29
Dynasty B-420 Cylinder Golden Synthetic Paint Brush Set - Assorted Size&#44; Black&#44; Set - 72,Dynasty,643.39,264.22
schmincke : horadam watercolour paint : supergranulation set : 15ml set of 10,Schmincke,309.14,264.03
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451320 2 In. Badger Premium Quality Natural China Bristle Paint Brush- Case Of 12,Gordon Brush Mfg. Co.,650.43,263.23
Gordon Brush Mfg. Co. Gordon Brush 499S9X .5 In. Diameter .010 Static Dissipative Nylon Applicator Brush Autoclave   Case of 25,Gordon Brush Mfg. Co.,649.95,263.04
"master airbrush brand finger nail decorating system. 2 airbrushes, air compressor, stencil set of over 100 designs, 6' hose, ",Master Airbrush,307.64,262.75
jerry\'s artarama gamblin artist oil paint set for professionals - blue set - 37ml tubes,jerry\'s artarama,306.15,261.48
jerry\'s artarama gamblin artist oil paint set for professionals - yellow set - 37ml tubes,jerry\'s artarama,301.99,257.93
Artists Loft michaels bulk 12 packs: 24 ct. (288 total) metallic & neon acrylic paint set by artist's loft,Artists Loft,301.21,257.26
Artists Loft michaels bulk 12 packs: 24 ct. (288 total) acrylic paint set by artist's loft,Artists Loft,301.21,257.26
Gordon Brush Mfg. Co. Gordon Brush 375S9X .38 In. Diameter .010 Static Dissipative Nylon Applicator Brush With High Temperature Glue   Case of 25,Gordon Brush Mfg. Co.,626.93,256.47
"master airbrush custom body art system kit with cool runner ii dual fan air compressor, gravity airbrush, 8 color temporary t",Master Airbrush,300.20,256.40
Atova International caravaggio decorative stucco micro plaster - gold (4 liters - 1.35 gal),Atova International,295.67,252.53
Family Maid FamilyMaid 16998 4 in. Paint Brush with Rubber Handle,Family Maid,616.15,250.06
YSH-US ysh arts 5 pcs 4k black waterproof portable sketch painting board bag double pocket large capacity travel shoulder sketchpad ,YSH-US,292.28,249.64
Duratrel Vfan Portable Airbrush Pro-Pack,Duratrel,607.89,246.33
Vallejo VLJ70174 17 ml 72 Colors Panzer Aces Paint Set with Brush,Vallejo,592.25,243.41
The Army Painter Mega Paint Set 3 and Mega Brush Set Bundle - Miniature Painting Kit of 50 Acrylic Paints and 10 Wargamer,The Army Painter,284.98,243.41
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451820 2 In. Onyx  100 Percent White China Bristle Paint Brush-Case Of 24,Gordon Brush Mfg. Co.,599.25,242.76
Gordon Brush Mfg. Co. Gordon Brush 1Ckg .38 In. Diameter Hog Bristle And Zinc Plated Steel Applicator Brush- Case Of 50,Gordon Brush Mfg. Co.,589.33,241.88
Gordon Brush Mfg. Co. Gordon Brush 0780-01000 Camel Hair Flat Glaze-1 In. Case Of 24,Gordon Brush Mfg. Co.,593.28,240.37
Gordon Brush Mfg. Co. Gordon Brush 6052-06000 Dagger Long Squirrel-6 Lsoh&#44; Case Of 24,Gordon Brush Mfg. Co.,593.28,240.37
Gordon Brush Mfg. Co. Gordon Brush 0440-01000 Lsoh Brown Ox Hair Stroke- Case Of 24,Gordon Brush Mfg. Co.,593.28,240.37
Gordon Brush Mfg. Co. Gordon Brush 0901-08000 Pure Red Sable Liner-8- Case Of 24,Gordon Brush Mfg. Co.,593.28,240.37
Gordon Brush Mfg. Co. Gordon Brush 0040-08000 White Taklon Large Round-8- Case Of 24,Gordon Brush Mfg. Co.,593.28,240.37
FM Brush Company Inc FM Brush 1589048 Dynasty B-810 Brushes & Canister - Set of 109,FM Brush Company Inc,598.25,239.30
FM Brush Company Inc FM Brush  Dynasty B-810 Brushes & Canister - Set of 109,FM Brush Company Inc,597.38,238.95
Vallejo VLJ71170 17 ml 72 Colors Model Air Paint Set,Vallejo,581.08,238.94
Gordon Brush Mfg. Co. Gordon Brush 250S9X .5 Diameter .010 Static Dissipative Nylon Applicator Brush With High Temperature Glue   Case of 25,Gordon Brush Mfg. Co.,589.65,238.92
Gordon Brush Mfg. Co. Gordon Brush 250Nad .25 In. Diameter .008 Nylon Applicator Brush With High Temperature Glue   Case of 25,Gordon Brush Mfg. Co.,589.65,238.92
Badger Air Brush badger air-brush co. 175-16 special edition airbrush set,Badger Air Brush,279.69,238.90
master airbrush .3.5.8mm pro airbrush 22cc bottle with abd tc-20t tank compressor,Master Airbrush,279.68,238.89
Gordon Brush Mfg. Co. Gordon Brush 6108-09000 Mb Shader Squirrel Brush-9- Case Of 12,Gordon Brush Mfg. Co.,588.83,238.59
Gordon Brush Mfg. Co. Gordon Brush 0430-05000 Pure Red Sable Pointer-5- Case Of 24,Gordon Brush Mfg. Co.,588.08,238.29
Gordon Brush Mfg. Co. Gordon Brush 0430-10000 Pure Red Sable Pointer-10- Case Of 6,Gordon Brush Mfg. Co.,586.75,237.76
"lukas aquarell 1862 watercolor paint - exclusive fine art watercolor paint for artists, canvas, pads, gradient effects, & mor",Lukas,278.07,237.52
grex genesis.xsi3 0.3mm nozzle side feed by spraygunner,Grex,276.48,236.16
grex genesis.xgi5 0.5mm nozzle top feed airbrush +bonus by spraygunner,Grex,276.48,236.16
"Master Airbrush professional master g22, s68, e91 airbrush kit with master compressor tc-20, air hose & 6 wicked createx colors",Master Airbrush,274.86,234.78
Gordon Brush Mfg. Co. Gordon Brush 375Nad .38 In. Diameter .008 Nylon Applicator Brush With High Temperature Glue   Case of 25,Gordon Brush Mfg. Co.,574.23,232.75
paasche airbrush vision gravity feed double action airbrush set by paasche airbrush,Paasche,270.06,230.68
jerry\'s artarama bob ross master artist oil paint set includes wood art supply carrying storage case sketchbox w/palette,jerry\'s artarama,270.05,230.67
Gordon Brush Mfg. Co. Redtree R18021 2 Red Sable Round Artist Brush- Case Of 96,Gordon Brush Mfg. Co.,568.85,230.60
AK-Interactive ak book ak630 faq scale figures (488 pages) (english),AK-Interactive,269.72,230.39
Bazic Products DDI 2344751 BAZIC Natural Hair Round Paint Brushes Case of 24,Bazic Products,565.31,230.00
Gordon Brush Mfg. Co. Gordon Brush 0996-08000 Pure Red Stable Kolinsky Water Color Brush 8- Case Of 6,Gordon Brush Mfg. Co.,566.63,229.71
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 450019 10 Fawn Paint Brush- Case Of 24,Gordon Brush Mfg. Co.,566.08,229.49
Gordon Brush Mfg. Co. Gordon Brush 0430-07000 Pure Red Sable Pointer-7- Case Of 12,Gordon Brush Mfg. Co.,562.95,228.24
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 452220 2 In. Chip Bristle Paint Brush- Case Of 48,Gordon Brush Mfg. Co.,561.13,227.51
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451840 4 In. Onyx  100 Percent White China Bristle Paint Brush-Case Of 12,Gordon Brush Mfg. Co.,560.08,227.09
"pantone fashion, home + interiors (fhi) metallic shimmers color guide | add brilliance and drama to any design | fhip310b",Pantone,263.63,225.20
"grex genesis.xs double action side gravity airbrush, 0.3mm nozzle, 7ml cup",Grex,263.60,225.17
Sakura 6 pack: koi water colors 12 half pan pocket field sketch box set,Sakura,262.86,224.54
iwata-medea studio series silver jet single piston air compressor,Iwata,261.99,223.80
t togush professional air compressor with air tank with 3 airbrushes for hobby temporary tattoo cake decoration,T TOGUSH,261.97,223.78
Gordon Brush Mfg. Co. Gordon Brush 375Npg .38 In. Diameter .008 Nylon Applicator Brush- Case Of 50,Gordon Brush Mfg. Co.,542.59,222.73
Gordon Brush Mfg. Co. Gordon Brush 6146-04000 Scripto .88 In. Lo Pure Red Sable-4- Case Of 24,Gordon Brush Mfg. Co.,547.28,221.97
Sax Optimum White Taklon Long Varnished Wood Handle Paint Brush Set- Set - 72,Sax,554.90,221.96
"OfficeTop Optimum White Taklon Long Varnished Wood Handle Paint Brush Set, Set - 72",OfficeTop,554.03,221.61
Gordon Brush Mfg. Co. Gordon Brush 6109-08000 Mb Pointer Squirrel Brush-8- Case Of 12,Gordon Brush Mfg. Co.,545.73,221.35
ophir airbrush kit airbrushing system with compressor tank for model hobby crafts 3 airbrushes (110v us version),OPHIR,258.76,221.04
Craft Smart michaels bulk 8 packs: 36 ct. (288 total) essential paint value set by craft smart,Craft Smart,258.59,220.90
Gordon Brush Mfg. Co. Gordon Brush 6108-08000 Mb Shader Squirrel Brush-8- Case Of 12,Gordon Brush Mfg. Co.,542.83,220.19
Gordon Brush Mfg. Co. Gordon Brush 6110-08000 Mb Short Shader Squirrel Brush-8- Case Of 12,Gordon Brush Mfg. Co.,542.83,220.19
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451015 1.50 In. Queen Wood Synthetic Paint Brush- Case Of 24,Gordon Brush Mfg. Co.,542.08,219.89
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451540 4 In. Radiator Paint Brush- Bent Ferrule- Wood Handle- Case Of 24,Gordon Brush Mfg. Co.,542.08,219.89
Dynasty Fm Brush Co Inc DYNASTY BRUSH B-1450F SET OF 36,Dynasty,306.92,219.23
Gordon Brush Mfg. Co. Gordon Brush Bt706Ss .25 In. Diameter .006 Stainless Steel .50 In. Trim And Brass Applicator Brush   Case of 25,Gordon Brush Mfg. Co.,526.04,218.54
OfficeTop Flat White Bristle Brush School Pack - Assorted Size&#44; Natural&#44; Pack 216,OfficeTop,528.27,218.17
"dollaritemdirect paint sponges 5 pcs with stick, case of 96",DollarItemDirect,255.30,218.09
Gordon Brush Mfg. Co. Gordon Brush 0906-09000 Pure Red Sable Round-9- Case Of 12,Gordon Brush Mfg. Co.,536.80,217.78
Gordon Brush Mfg. Co. Gordon Brush 499Np .5 In. Diameter .008 Nylon Applicator Brush   Case of 25,Gordon Brush Mfg. Co.,533.60,217.71
"schmincke - calligraphy gouache, 12 x 0,68 fl oz / 20 ml tubes, 72 028 097, 12 finest calligraphy colors in wooden box, brill",Schmincke,254.82,217.68
Gordon Brush Mfg. Co. Gordon Brush 0317-10000 White Bristle Bright Brushes -10- Case Of 24,Gordon Brush Mfg. Co.,535.25,217.16
Gordon Brush Mfg. Co. Gordon Brush 0866-10000 Gold Taklon Round Brush -10- Case Of 24,Gordon Brush Mfg. Co.,535.25,217.16
Gordon Brush Mfg. Co. Gordon Brush 6052-05000 Dagger Long Squirrel-5 Lsoh&#44; Case Of 24,Gordon Brush Mfg. Co.,535.25,217.16
Gordon Brush Mfg. Co. Gordon Brush 0733-12000 Red Sable Shader-12- Case Of 24,Gordon Brush Mfg. Co.,535.25,217.16
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451425 2.50 In. Radiator Paint Brush- Bent Wood Handle- Case Of 24,Gordon Brush Mfg. Co.,535.00,217.06
Gordon Brush Mfg. Co. Gordon Brush Bt606Ss .18 In. .006 Stainless Steel .37 In. Trim And Brass Applicator Brush   Case of 25,Gordon Brush Mfg. Co.,523.53,216.03
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451315 1.50 In. Badger Premium Quality Natural China Bristle Paint Brush- Case Of 12,Gordon Brush Mfg. Co.,531.83,215.79
"DollarItemDirect paint sponges 3 pcs 2.75 inches d, case of 96",DollarItemDirect,249.28,212.95
Gordon Brush Mfg. Co. Gordon Brush 0770-07000 Red Sable Round-7- Case Of 24,Gordon Brush Mfg. Co.,524.28,212.77
Gordon Brush Mfg. Co. Gordon Brush 1010-06000 Pure Red Stable Kolinsky Shader-6- Case Of 24,Gordon Brush Mfg. Co.,523.75,212.56
Gordon Brush Mfg. Co. Gordon Brush 0740-01000 Dark Brown Ox Hair Glaze-1 In. Case Of 24,Gordon Brush Mfg. Co.,523.75,212.56
Gordon Brush Mfg. Co. Gordon Brush 0037-14000 White Taklon Bright-14- Case Of 24,Gordon Brush Mfg. Co.,523.75,212.56
Gordon Brush Mfg. Co. Gordon Brush 0430-04000 Pure Red Sable Pointer-4- Case Of 24,Gordon Brush Mfg. Co.,523.75,212.56
Gordon Brush Mfg. Co. Gordon Brush 0996-04000 Pure Red Stable Kolinsky Water Color Brush -4- Case Of 12,Gordon Brush Mfg. Co.,522.43,212.03
sakura koi studio kit - watercolor sets for studio art or art on the go - 96 colors - 1 water brush - 1 palette,Sakura,247.86,211.74
Master Airbrush master g65 studio airbrush set with 6 different airbrush models and now inclu.,Master Airbrush,247.57,211.49
"ophir double outlet airbrush compressor with 1l air tank & 2x airbrushes kit with 12 colors of airbrush acrylic paint set, 5x",OPHIR,247.52,211.45
Gordon Brush Mfg. Co. Gordon Brush 250Np .25 Diameter .008 Nylon Applicator Brush   Case of 25,Gordon Brush Mfg. Co.,510.24,210.75
Gordon Brush Mfg. Co. Gordon Brush 0901-06000 Pure Red Sable Liner-6- Case Of 24,Gordon Brush Mfg. Co.,517.98,210.25
artist\'s loft michaels bulk 6 pack: 28 piece level 1 complete watercolor painting set by artist's loft,artist\'s loft,246.10,210.24
"lukas studio artist oil color paints - high-pigment oil paint made with natural binder for artists, painting, color theory, g",Lukas,245.96,210.12
Faber-Castell 12 pack: faber-castell creativity for kids hide & seek rock painting kit,Faber-Castell,244.88,209.20
Gordon Brush Mfg. Co. Gordon Brush Bt146Hh .43 In. Diameter Horse Hair .75 In. Trim And Brass Applicator Brush   Case of 25,Gordon Brush Mfg. Co.,513.20,208.34
Gordon Brush Mfg. Co. Gordon Brush 1111-08000 Golden Max Slant-8- Case Of 24,Gordon Brush Mfg. Co.,512.25,207.96
Gordon Brush Mfg. Co. Gordon Brush 0742-01000 Black Ox Hair Glaze-1 In. Case Of 24,Gordon Brush Mfg. Co.,512.25,207.96
ophir 110v pro air tank compressor with 0.2mm 0.3mm 0.5mm airbrush & cleaning kits for model hobby painting body tattoo pro a,OPHIR,242.75,207.38
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451130 3 In. Ace Maintenance Grade China Bristle Paint Brush- Case Of 24,Gordon Brush Mfg. Co.,508.90,206.62
Gordon Brush Mfg. Co. Gordon Brush 0119-00000 Doll Porcelain Duster- B Squirrel- Case Of 12,Gordon Brush Mfg. Co.,507.80,206.18
Gordon Brush Mfg. Co. Gordon Brush 0042-00062 White Taklon Stroke-0.62 In. Case Of 24,Gordon Brush Mfg. Co.,506.48,205.65
Master Airbrush master g64 studio airbrush set professional airbrush set with 6 master airbrushes,Master Airbrush,239.54,204.64
Gordon Brush Mfg. Co. Gordon Brush 0316-12000 White Bristle Round Brushes 12   Case of 12,Gordon Brush Mfg. Co.,503.25,204.36
master airbrush professional cool runner ii dual fan air compressor airbrushing system kit with 6 primary opaque colors acryl,Master Airbrush,238.78,203.99
Gordon Brush Mfg. Co. Milwaukee Dustless Brush 451240 4 In. The Fooler Paint Brush- Case Of 24,Gordon Brush Mfg. Co.,497.50,203.27
iwata fluid head system .23mm cm-c,Iwata,237.66,203.04
"Family Maid FamilyMaid 26194 Artist Paint Brush, 15 Piece - Pack of 144",Family Maid,487.59,200.56
Gordon Brush Mfg. Co. Gordon Brush Bt407Ss .18 In. Diameter .004 Stainless Steel .37 In. Trim And Brass Applicator Brush   Case of 25,Gordon Brush Mfg. Co.,492.60,200.10
Gordon Brush Mfg. Co. Gordon Brush Bt406Ss .18 In. Diameter .003 Stainless Steel .31 In. Trim And Brass Applicator Brush   Case of 25,Gordon Brush Mfg. Co.,492.60,200.10
